,avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure,salary_derived
85,156,sales,0.0,,3,0.0,low,0.549054592827,Employed,2.0,0
86,283,IT,0.0,,3,0.0,low,0.5500036519100001,Employed,3.0,0
87,113,,0.0,0.511793620362,4,0.0,low,0.632133263962,Employed,3.0,0
88,214,IT,1.0,,4,0.0,low,0.96940778655,Employed,2.0,0
89,181,product,1.0,0.674893831177,3,0.0,medium,0.547941153654,Employed,3.0,1
90,140,support,0.0,0.8013227652580001,4,0.0,low,0.526745455356,Employed,3.0,0
91,184,engineering,0.0,0.918450089622,4,0.0,low,0.914882604937,Employed,3.0,0
92,168,sales,1.0,0.389626690049,3,0.0,low,0.394051564841,Employed,3.0,0
93,146,engineering,0.0,0.55743729675,2,0.0,medium,0.47110465860899997,Left,3.0,1
94,251,engineering,0.0,0.871911091013,4,0.0,medium,0.69605347067,Employed,2.0,1
95,219,support,0.0,1.0,5,0.0,low,0.7345794152089999,Left,5.0,0
96,170,product,0.0,0.5180136841480001,2,0.0,low,0.35208228555699994,Employed,3.0,0
97,187,marketing,0.0,0.680370266157,4,0.0,medium,0.1891154715,Employed,5.0,1
98,207,product,0.0,0.495033514598,3,0.0,medium,0.576405944943,Employed,3.0,1
99,165,support,0.0,0.598530648395,5,0.0,low,0.7695363808910001,Employed,3.0,0
100,241,,0.0,0.7665448208769999,3,0.0,low,0.851892327123,Employed,3.0,0
101,139,engineering,0.0,,4,0.0,low,0.7718169921889999,Employed,3.0,0
102,165,support,0.0,0.838420070517,3,0.0,low,0.59824818897,Employed,4.0,0
103,167,engineering,0.0,0.625649373344,5,0.0,low,0.487113849919,Employed,2.0,0
104,163,sales,0.0,0.9277176671590001,4,0.0,medium,0.792414076414,Employed,3.0,1
105,161,,0.0,0.6950976140449999,2,0.0,medium,0.6116886966539999,Employed,5.0,1
106,271,IT,0.0,0.96930400526,6,0.0,low,0.172048602687,Left,4.0,0
107,310,sales,0.0,0.8581791690270001,7,0.0,medium,0.14712496977,Left,4.0,1
108,257,support,0.0,0.725018808946,4,0.0,low,0.7620304084749999,Employed,3.0,0
109,278,sales,0.0,0.862236739522,7,0.0,low,0.0979844302499,Left,4.0,0
110,229,engineering,0.0,0.630154827545,3,0.0,medium,0.0815637410362,Employed,6.0,1
111,186,IT,0.0,0.560171575754,3,0.0,medium,0.7360631891859999,Employed,3.0,1
112,211,sales,0.0,0.947729025431,4,0.0,high,0.35597975138099996,Employed,7.0,3
113,248,management,0.0,,4,0.0,high,0.62362639988,Employed,3.0,3
114,231,management,1.0,,3,0.0,high,0.74538874343,Employed,2.0,3
115,266,sales,0.0,0.872041703232,3,0.0,low,0.6941903176809999,Employed,5.0,0
116,135,engineering,0.0,0.451192121989,2,0.0,low,0.39165185993900004,Left,3.0,0
117,248,support,0.0,1.0,5,0.0,medium,0.700604105528,Left,5.0,1
118,161,IT,0.0,0.7257235561579999,4,0.0,low,0.785723886722,Employed,3.0,0
119,212,product,0.0,0.872785533979,3,0.0,medium,0.531863130276,Employed,2.0,1
120,103,,0.0,0.5838703653739999,3,0.0,low,0.381824395741,Employed,3.0,0
121,160,sales,0.0,0.8907127240180001,3,0.0,low,0.7617650303319999,Employed,2.0,0
122,268,engineering,0.0,0.797235381041,5,0.0,low,0.851411583712,Employed,3.0,0
123,116,sales,1.0,0.845078318802,4,0.0,low,0.30986864722199997,Employed,3.0,0
124,150,,0.0,0.5594000392230001,2,0.0,low,0.444263576884,Left,3.0,0
125,146,IT,0.0,0.500957306437,2,0.0,low,0.41123374914399996,Left,3.0,0
126,215,IT,0.0,0.42169221611599994,6,0.0,medium,0.606946725712,Employed,3.0,1
127,194,sales,0.0,0.534309122293,5,0.0,high,0.9691907978030001,Employed,2.0,3
128,200,product,0.0,0.425131894498,5,0.0,medium,0.565407293567,Employed,4.0,1
129,213,sales,0.0,0.7704638243340001,3,0.0,high,0.543262177395,Employed,3.0,3
130,163,IT,0.0,0.905180515303,3,0.0,low,0.93331321955,Employed,2.0,0
131,148,sales,0.0,0.4730269242600001,2,0.0,low,0.443427763613,Left,3.0,0
132,245,product,0.0,0.506201222856,2,0.0,medium,0.454911641867,Employed,5.0,1
133,250,support,0.0,0.873045465289,3,0.0,low,0.5534421048,Left,2.0,0
134,250,sales,1.0,0.828825763738,5,0.0,low,0.8329556956280001,Employed,2.0,0
135,173,engineering,0.0,0.725963978215,2,0.0,medium,0.452392397848,Employed,2.0,1
136,248,sales,1.0,0.896942281485,4,0.0,low,0.741786835002,Employed,3.0,0
137,158,management,0.0,0.6355457358300001,5,0.0,medium,0.9562389338420001,Employed,3.0,1
138,196,support,0.0,0.840207778701,4,0.0,low,0.468987245804,Employed,2.0,0
139,265,procurement,0.0,0.626653131615,3,0.0,low,0.906159310018,Employed,8.0,0
140,159,engineering,0.0,0.8681210202140001,3,0.0,high,0.9612353993170001,Employed,3.0,3
141,262,sales,0.0,0.9077315488680001,5,0.0,medium,0.9724230583560001,Employed,3.0,1
142,175,sales,0.0,0.403619418352,3,0.0,medium,0.2846772958,Employed,3.0,1
143,278,sales,0.0,0.7778811669,7,0.0,low,0.11472468691299999,Left,4.0,0
144,248,sales,0.0,0.859383829667,5,0.0,low,0.933486376879,Left,5.0,0
145,275,product,0.0,0.524095060049,3,0.0,low,0.63172969046,Employed,2.0,0
146,258,support,0.0,0.866158286663,5,0.0,low,0.293123234813,Employed,6.0,0
147,253,engineering,0.0,1.0,5,0.0,medium,0.852952125868,Left,5.0,1
148,165,support,0.0,0.643410636607,4,0.0,low,0.16155364248600002,Employed,5.0,0
149,269,support,1.0,0.7673690699250001,3,0.0,medium,0.248522034985,Employed,4.0,1
150,148,finance,0.0,0.538478484226,2,0.0,medium,0.467529517276,Left,3.0,1
151,156,sales,1.0,0.950282237768,4,0.0,low,0.672060063083,Employed,2.0,0
152,274,sales,1.0,0.811500420662,4,0.0,low,0.839058813805,Employed,2.0,0
153,196,support,1.0,1.0,3,0.0,low,0.7055853587180001,Employed,6.0,0
154,146,engineering,1.0,0.358995978401,3,0.0,low,0.6231064824970001,Employed,4.0,0
155,274,sales,0.0,0.48990481118600004,2,0.0,low,0.666894021832,Left,4.0,0
156,139,marketing,0.0,0.519776982615,2,0.0,low,0.372463409943,Left,3.0,0
157,132,product,0.0,0.437142715501,4,0.0,high,0.6312002898,Employed,3.0,3
158,231,IT,1.0,0.6155106313359999,5,0.0,medium,0.237030559811,Employed,4.0,1
159,254,sales,0.0,0.547034374298,4,0.0,low,0.50542191225,Left,4.0,0
160,189,admin,0.0,0.539467271436,4,0.0,low,0.831444386447,Employed,4.0,0
161,104,support,0.0,0.7891253512559999,5,0.0,low,0.780337175913,Employed,4.0,0
162,254,marketing,0.0,0.8708564231899999,4,0.0,low,0.829745630485,Left,5.0,0
163,253,sales,0.0,0.557354737359,5,0.0,medium,0.729650605495,Employed,6.0,1
164,170,sales,0.0,0.661489034844,2,0.0,low,0.48690010474,Employed,8.0,0
165,195,sales,0.0,0.6909413383930001,3,0.0,medium,0.87212292845,Employed,3.0,1
166,255,management,0.0,0.560749082033,5,0.0,medium,0.79270387677,Employed,4.0,1
167,194,engineering,0.0,0.8649809478849999,4,0.0,medium,0.547342771376,Employed,2.0,1
168,260,IT,0.0,0.879114107825,5,0.0,low,0.78934688115,Left,5.0,0
169,212,finance,1.0,0.42001828530100005,4,0.0,low,0.371534723609,Employed,2.0,0
170,219,marketing,0.0,,5,0.0,medium,0.933851070889,Employed,2.0,1
171,187,management,0.0,0.9602857150390001,4,0.0,high,0.681413302736,Employed,3.0,3
172,252,,0.0,0.7789527068619999,4,0.0,medium,0.7705464679449999,Employed,6.0,1
173,281,sales,0.0,0.5319367588699999,4,0.0,medium,0.190744825973,Employed,7.0,1
174,163,IT,0.0,0.6159380740829999,4,0.0,low,0.947393875335,Employed,5.0,0
175,155,engineering,0.0,0.897609838916,3,0.0,medium,0.946144709958,Employed,3.0,1
176,208,management,0.0,0.602807580192,4,1.0,high,0.894854282967,Employed,7.0,3
177,280,sales,0.0,0.9487579819580001,6,0.0,low,0.15219272264,Left,4.0,0
178,137,sales,0.0,0.8747940390160001,3,0.0,low,1.0,Employed,3.0,0
179,242,IT,0.0,0.9314667165639999,4,0.0,medium,0.635757610027,Employed,2.0,1
180,229,sales,0.0,0.6679889957590001,2,0.0,low,0.893746528107,Employed,4.0,0
181,269,sales,0.0,0.874320460481,6,0.0,low,0.041301712235199996,Left,4.0,0
182,173,,0.0,0.7233648727590001,5,0.0,low,0.534218145207,Employed,2.0,0
183,153,support,0.0,0.588430038133,5,0.0,low,0.5463948579919999,Left,4.0,0
184,282,,0.0,0.981290494137,6,0.0,medium,0.0635892582279,Left,4.0,1
185,233,support,0.0,0.543301856706,4,0.0,low,0.581044902784,Employed,4.0,0
186,275,support,0.0,0.39608459497599996,3,0.0,low,0.21891461663000003,Employed,5.0,0
187,179,support,0.0,0.568593436749,3,0.0,low,0.716163504506,Employed,4.0,0
188,195,engineering,0.0,0.8362479055159999,5,0.0,low,0.7833914467380001,Employed,4.0,0
189,206,marketing,0.0,0.5820628938369999,2,0.0,low,0.7847315074310001,Employed,2.0,0
190,239,product,0.0,0.9193735912809999,4,0.0,low,0.829871872261,Left,5.0,0
191,208,IT,1.0,0.816689813888,4,0.0,low,0.8343786753139999,Employed,3.0,0
192,150,engineering,0.0,0.676225844419,3,0.0,medium,0.29292957209000003,Employed,2.0,1
193,219,engineering,0.0,,4,0.0,low,0.8738126953380001,Employed,3.0,0
194,172,sales,0.0,,5,0.0,low,0.326353372,Left,2.0,0
195,201,finance,0.0,0.7256709052,3,0.0,medium,0.7502317842370001,Employed,4.0,1
196,222,sales,0.0,0.9648475789200001,5,1.0,medium,0.8898269772290001,Employed,3.0,1
197,228,sales,0.0,1.0,2,0.0,low,0.24817499443500002,Employed,3.0,0
198,198,,0.0,0.9541910464200001,2,0.0,low,0.583854409074,Employed,2.0,0
199,146,marketing,0.0,0.5055583083290001,2,0.0,low,0.42032739552000004,Left,3.0,0
200,219,support,0.0,0.8857658498909999,6,0.0,low,0.294741730228,Left,5.0,0
201,257,engineering,0.0,0.831322416354,5,0.0,medium,0.9952780066050001,Employed,4.0,1
202,124,sales,0.0,0.640118804888,3,0.0,medium,0.6387388560939999,Employed,3.0,1
203,208,,0.0,0.883595218489,4,0.0,medium,0.9256681878849999,Employed,2.0,1
204,129,support,0.0,0.402660372147,2,0.0,medium,0.437359473406,Left,3.0,1
205,259,product,0.0,0.809302269938,3,0.0,high,0.463828673864,Employed,2.0,3
206,142,support,0.0,0.5551120826389999,3,0.0,low,0.6829877660079999,Employed,3.0,0
207,238,,0.0,0.9267697850229999,3,0.0,low,0.8751678752200002,Employed,2.0,0
208,239,sales,0.0,0.915881388935,4,0.0,low,0.8821381383419999,Left,5.0,0
209,152,support,0.0,0.6198230182109999,2,0.0,low,0.524761712733,Left,3.0,0
210,248,sales,0.0,0.672234590766,3,0.0,medium,0.718742747149,Employed,4.0,1
211,111,sales,0.0,0.983301705142,4,0.0,high,0.834831795068,Employed,2.0,3
212,180,sales,0.0,0.557827629141,4,0.0,high,0.9468730686110001,Employed,5.0,3
213,221,support,0.0,0.885106065506,5,0.0,medium,0.7943403935719999,Left,6.0,1
214,237,support,0.0,0.443884581204,2,0.0,low,0.530736920966,Employed,2.0,0
215,213,sales,0.0,0.700835509526,4,0.0,low,0.776922012617,Employed,3.0,0
216,160,sales,0.0,0.501879663683,2,0.0,low,0.497401977891,Left,3.0,0
217,255,sales,0.0,0.668790393369,4,0.0,medium,0.911823500862,Employed,2.0,1
218,288,support,0.0,0.957495482591,6,0.0,medium,0.0684883801632,Left,4.0,1
219,258,management,0.0,0.781828644136,4,0.0,high,0.703745934075,Employed,3.0,3
220,199,sales,0.0,0.811335750297,4,0.0,low,0.73722932302,Employed,2.0,0
221,256,support,0.0,0.407778538729,3,0.0,medium,0.633255105806,Employed,6.0,1
222,305,finance,0.0,0.8456054265199999,6,0.0,medium,0.10288246975299999,Left,4.0,1
223,185,support,0.0,0.9214362021250001,5,0.0,low,0.567765322294,Employed,2.0,0
224,185,IT,0.0,0.662768618144,4,0.0,medium,0.573997861748,Employed,2.0,1
225,211,IT,0.0,0.606593988288,3,0.0,low,0.579431608043,Employed,3.0,0
226,283,engineering,1.0,0.8343318859280001,6,0.0,low,0.12789746509199998,Left,4.0,0
227,138,engineering,0.0,0.8563437232660001,5,0.0,low,0.62338956765,Employed,3.0,0
228,143,support,0.0,0.7727856555439999,4,0.0,medium,0.8297613413789999,Employed,3.0,1
229,134,sales,0.0,,3,0.0,medium,0.451961289545,Employed,3.0,1
230,234,marketing,0.0,,3,0.0,medium,0.7293273438210001,Employed,2.0,1
231,258,engineering,0.0,0.935780677261,4,0.0,medium,0.9644259819859999,Left,5.0,1
232,166,sales,0.0,0.575457056316,3,0.0,medium,0.921557036258,Employed,3.0,1
233,260,IT,0.0,0.81230399818,6,0.0,medium,0.0448441086422,Left,4.0,1
234,176,sales,0.0,0.43021450090700003,4,0.0,low,0.319175890928,Employed,2.0,0
235,153,product,0.0,0.470466922695,2,0.0,low,0.40864071379699995,Left,3.0,0
236,154,marketing,0.0,0.547320381543,2,0.0,low,0.341206158147,Left,3.0,0
237,291,engineering,0.0,0.9378307491069999,5,0.0,low,0.15214375132000002,Left,4.0,0
238,273,marketing,1.0,0.654988147166,6,0.0,medium,0.743338094254,Employed,4.0,1
239,140,engineering,0.0,0.608738572701,4,0.0,high,0.557744023951,Employed,3.0,3
240,240,IT,0.0,0.896967279224,5,0.0,medium,0.938703313591,Left,5.0,1
241,236,sales,0.0,0.587849956416,4,0.0,low,0.794786308325,Employed,4.0,0
242,242,management,0.0,0.918022858871,4,0.0,medium,0.6610077882590001,Employed,2.0,1
243,171,admin,0.0,0.722839486389,4,0.0,medium,0.91059838192,Employed,4.0,1
244,150,support,0.0,0.8745131920649999,4,0.0,high,0.48075307018299995,Employed,2.0,3
245,152,product,0.0,0.439785251448,2,0.0,low,0.340777989177,Left,3.0,0
246,182,engineering,0.0,0.7471058431090001,3,0.0,low,0.8553621853810001,Left,4.0,0
247,133,engineering,0.0,0.80989076183,4,1.0,medium,0.7476996516969999,Employed,3.0,1
248,230,sales,1.0,0.6839407399580001,3,0.0,medium,0.587527383433,Employed,3.0,1
249,251,sales,0.0,0.523232109564,3,0.0,low,0.529079006159,Employed,2.0,0
250,225,sales,0.0,0.688970081967,5,0.0,medium,0.691658302376,Employed,7.0,1
251,164,engineering,0.0,0.914324282314,5,0.0,low,0.679091975677,Employed,3.0,0
253,211,sales,0.0,0.881951254586,3,0.0,medium,0.8072933070199999,Employed,3.0,1
254,162,sales,0.0,0.797551376616,3,0.0,medium,0.809674388378,Employed,3.0,1
255,242,,1.0,0.775716408655,4,0.0,medium,0.8702380742929999,Employed,3.0,1
256,132,engineering,0.0,0.626425378119,4,0.0,medium,0.567430425777,Employed,4.0,1
257,149,sales,0.0,0.492048066452,2,0.0,low,0.400385078683,Left,3.0,0
258,251,engineering,0.0,0.7354763225959999,6,0.0,low,0.837665155159,Employed,4.0,0
259,158,IT,0.0,0.546333237781,2,0.0,low,0.391486853786,Left,3.0,0
260,228,,0.0,0.9372021801279999,4,0.0,low,0.745604095989,Left,5.0,0
261,229,support,0.0,0.669369532442,6,0.0,medium,0.5132895798279999,Employed,3.0,1
262,272,engineering,0.0,0.7826241315620001,6,0.0,low,0.0567964616846,Left,4.0,0
263,195,engineering,1.0,0.946932049647,4,0.0,medium,0.469174880431,Employed,3.0,1
264,241,,0.0,0.48304389096999995,3,0.0,medium,0.6546858190779999,Employed,3.0,1
265,305,engineering,0.0,0.9325777112279999,6,0.0,low,0.149254770899,Left,4.0,0
266,232,sales,0.0,0.7156951369140001,4,0.0,medium,0.797199338504,Employed,3.0,1
267,241,engineering,0.0,0.695768463336,4,0.0,high,0.8747335190200001,Employed,3.0,3
268,183,management,0.0,0.558828547727,2,0.0,medium,0.322313897127,Employed,2.0,1
269,135,IT,0.0,0.755850361895,4,1.0,medium,0.8022988363429999,Employed,3.0,1
270,193,admin,0.0,,3,0.0,medium,1.0,Employed,3.0,1
271,120,finance,1.0,0.465232047598,3,0.0,medium,0.5606164695310001,Employed,6.0,1
272,145,support,0.0,0.460142187271,2,0.0,low,0.394719458297,Left,3.0,0
273,126,sales,0.0,0.934856574794,5,0.0,medium,0.6284270047380001,Employed,5.0,1
274,243,support,0.0,1.0,5,0.0,medium,0.763318737312,Left,5.0,1
275,252,IT,0.0,0.927306095976,4,0.0,low,0.549252851179,Employed,4.0,0
276,159,,0.0,0.470259372498,2,0.0,high,0.455563315517,Left,3.0,3
277,171,support,0.0,0.5925676118159999,3,0.0,medium,0.584325275099,Employed,3.0,1
278,223,sales,0.0,0.872945547931,3,0.0,high,0.679167196788,Employed,7.0,3
279,201,support,1.0,0.810456446752,4,0.0,low,0.8483227799969999,Employed,2.0,0
280,261,IT,0.0,0.7871462656370001,4,0.0,medium,0.8652719597930001,Employed,2.0,1
281,298,IT,0.0,0.8552776039219999,5,0.0,low,0.141536431451,Left,4.0,0
282,161,management,0.0,0.542174831164,4,1.0,medium,0.6733970277429999,Employed,7.0,1
283,134,procurement,0.0,0.6972512154359999,5,0.0,medium,0.720455911032,Employed,3.0,1
284,103,product,0.0,0.918905310203,5,0.0,low,0.727818115909,Employed,5.0,0
285,227,engineering,0.0,0.8875579213079999,3,0.0,low,0.537563301906,Employed,2.0,0
286,127,sales,0.0,0.587762987371,2,0.0,low,0.42999820734099997,Left,3.0,0
287,204,engineering,0.0,0.508272946753,4,0.0,high,0.576594974244,Employed,3.0,3
288,145,finance,0.0,0.809748292279,6,0.0,medium,0.708500810514,Employed,3.0,1
289,243,engineering,0.0,0.978247937409,5,0.0,medium,0.591558862936,Employed,2.0,1
290,186,IT,0.0,0.482528933636,3,0.0,medium,0.728936841503,Employed,3.0,1
292,185,sales,1.0,0.8205443095939999,6,0.0,high,1.0,Employed,4.0,3
293,270,,0.0,0.8815067985200001,3,0.0,medium,0.6839041511570001,Employed,6.0,1
294,267,management,0.0,0.8043829985079999,3,0.0,high,0.46417577218999995,Employed,2.0,3
295,225,finance,0.0,0.484329206635,5,0.0,high,0.842398847393,Employed,2.0,3
296,170,IT,0.0,0.324238730989,3,0.0,low,0.7047816416789999,Employed,6.0,0
297,115,sales,0.0,0.667318626586,2,0.0,high,0.454341666269,Employed,3.0,3
298,154,IT,0.0,0.619474228566,2,0.0,low,0.438450195343,Left,3.0,0
299,173,engineering,1.0,0.535500740968,4,0.0,low,0.824315564301,Employed,2.0,0
300,226,support,0.0,0.648106699752,5,0.0,medium,0.193505896331,Employed,3.0,1
301,229,sales,0.0,0.7600909213529999,4,0.0,low,0.522014217515,Employed,3.0,0
302,134,IT,0.0,0.774788809286,4,0.0,low,0.55317058592,Employed,2.0,0
303,240,support,0.0,1.0,5,0.0,low,0.8492929647390001,Left,5.0,0
304,191,engineering,0.0,0.6177688359100001,4,0.0,low,0.9252288594779999,Employed,2.0,0
305,271,sales,0.0,0.945908852213,5,0.0,low,0.846959030932,Left,5.0,0
306,269,finance,0.0,0.9312316421619999,7,0.0,medium,0.14109166389799999,Left,4.0,1
307,139,engineering,0.0,0.536879417045,2,0.0,low,0.508276429481,Left,3.0,0
308,271,finance,0.0,0.878855357632,3,0.0,medium,0.7794467734430001,Employed,2.0,1
309,145,support,1.0,0.849128710323,3,0.0,medium,0.870789581504,Employed,3.0,1
310,304,engineering,0.0,0.788649513595,6,0.0,medium,0.0559878635989,Left,5.0,1
311,135,support,0.0,0.8201261566660001,5,0.0,low,0.7434883965610001,Employed,2.0,0
312,246,IT,0.0,0.838646296595,4,0.0,high,0.49385685938600005,Employed,3.0,3
313,267,sales,0.0,0.9178100919259999,6,0.0,medium,0.5510032823759999,Employed,4.0,1
314,177,engineering,0.0,1.0,3,0.0,medium,0.812509060991,Employed,2.0,1
315,254,support,0.0,0.600515546403,3,0.0,high,0.876948221628,Employed,2.0,3
316,155,sales,0.0,,2,0.0,low,0.175041589359,Employed,3.0,0
317,147,marketing,0.0,0.473579261219,2,0.0,low,0.38642145063,Left,3.0,0
318,244,IT,0.0,0.673256352795,4,0.0,medium,0.663379466863,Employed,2.0,1
319,250,sales,1.0,,5,0.0,medium,0.759685040151,Employed,3.0,1
320,180,engineering,0.0,0.933865141084,5,0.0,high,0.640398816094,Employed,2.0,3
321,251,engineering,0.0,1.0,4,0.0,low,0.925448859905,Left,6.0,0
